date,BMC,jo_RIM,Pre_ramadan,Ramadan,Pre_Afitr,Post_AFitr,Pre_Akebir,Post_Akebir,Pre_ferie,Post_ferie,Pre_elec,Post_elec,Achat_or,Last_Day,First_Day
2018-04-02,17.35565329035,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-03,17.44252128755,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-04,17.48763811365,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-05,17.44293955073,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-06,17.63649477373,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-09,17.544535651830003,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-10,17.505403252729998,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-11,17.56906739288,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-12,17.52393039648,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-13,17.54296329368,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-16,17.450439940779997,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-17,17.41322588158,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-18,17.36965807308,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-19,17.314974071279998,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-20,17.37231221208,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-23,17.17753377398,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-24,17.16413636898,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-25,17.227725002139998,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-26,17.18523488449,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-27,17.218661522740003,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-04-30,17.23783669,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0
2018-05-01,17.23783669,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-02,17.3671479329,1,0,0,0,0,0,0,0,1,0,0,0.0,0,0
2018-05-03,17.3785034055,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-04,17.417402810099997,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-07,17.3963759172,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-08,17.2839576748,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-09,17.27103868355,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-10,17.429939662549998,1,5,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-11,17.416042057549998,1,4,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-14,17.36466246995,1,3,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-15,17.233866705150003,1,2,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-16,17.23073840335,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-17,17.16729717745,1,0,1,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-18,17.17144039325,1,0,2,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-21,17.12269538925,1,0,3,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-22,17.11687643635,1,0,4,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-23,17.06080290195,1,0,5,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-24,17.07974793555,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0
2018-05-25,17.07974793555,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-28,17.04139236045,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-29,17.0224042486,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-30,17.0077250076,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-05-31,17.0532144575,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-06-01,17.0762690155,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-06-04,17.0880742978,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-06-05,17.0607789449,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-06-06,17.1882681059,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-06-07,17.2390013439,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-06-08,17.252323044900002,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-06-11,17.483414337299997,1,0,0,4,0,0,0,0,0,0,0,0.0,0,0
2018-06-12,17.5648667183,1,0,0,3,0,0,0,0,0,0,0,0.0,0,0
2018-06-13,17.793406056,1,0,0,2,0,0,0,0,0,0,0,0.0,0,0
2018-06-14,17.952550909299998,1,0,0,1,0,0,0,0,0,0,0,0.0,0,0
2018-06-15,17.952550909299998,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-06-18,18.0549392858,1,0,0,0,1,0,0,0,0,0,0,0.0,0,0
2018-06-19,18.0500519736,1,0,0,0,2,0,0,0,0,0,0,0.0,0,0
2018-06-20,18.071028331599997,1,0,0,0,3,0,0,0,0,0,0,0.0,0,0
2018-06-21,17.978759459099997,1,0,0,0,4,0,0,0,0,0,0,0.0,0,0
2018-06-22,17.9511895035,1,0,0,0,5,0,0,0,0,0,0,0.0,0,0
2018-06-25,17.993727491799998,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
2018-06-26,17.9486136476,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0
