,break,trend,yealy_season,monthly_season,weekly_season
2018-01-03,0.0,0,0.0,0.0,0.0
2018-01-04,0.0,1,0.024163745236132288,0.2817325568414297,0.9510565162951536
2018-01-05,0.0,2,0.048313379525507065,0.5406408174555974,0.5877852522924731
2018-01-08,0.0,3,0.07243480016176236,0.7557495743542584,-0.5877852522924729
2018-01-09,0.0,4,0.0965139209145151,0.9096319953545182,-0.9510565162951538
2018-01-10,0.0,5,0.12053668025532305,0.9898214418809326,-2.4492935982947064e-16
2018-01-11,0.0,6,0.14448904956922132,0.9898214418809327,0.9510565162951535
2018-01-12,0.0,7,0.16835704134703858,0.9096319953545183,0.5877852522924732
2018-01-15,0.0,8,0.19212671735370837,0.7557495743542584,-0.5877852522924728
2018-01-16,0.0,9,0.21578419676780616,0.5406408174555977,-0.9510565162951538
2018-01-17,0.0,10,0.2393156642875578,0.28173255684142967,-4.898587196589413e-16
2018-01-18,0.0,11,0.2627073781985869,5.66553889764798e-16,0.951056516295153
2018-01-19,0.0,12,0.2859456783986893,-0.28173255684142945,0.5877852522924736
2018-01-22,0.0,13,0.30901699437494745,-0.5406408174555974,-0.5877852522924725
2018-01-23,0.0,14,0.3319078531285285,-0.7557495743542583,-0.9510565162951539
2018-01-24,0.0,15,0.3546048870425356,-0.9096319953545179,-7.347880794884119e-16
2018-01-25,0.0,16,0.37709484168832047,-0.9898214418809326,0.9510565162951534
2018-01-26,0.0,17,0.3993645835656956,-0.9898214418809327,0.5877852522924737
2018-01-29,0.0,18,0.4214011077725291,-0.9096319953545184,-0.5877852522924724
2018-01-30,0.0,19,0.4431915455992413,-0.7557495743542588,-0.951056516295154
2018-01-31,0.0,20,0.4647231720437685,-0.5406408174555974,-9.797174393178826e-16
2018-02-01,0.0,21,0.485983413242606,-0.2817325568414298,0.9510565162951534
2018-02-02,0.0,22,0.5069598538135903,-1.133107779529596e-15,0.5877852522924768
2018-02-05,0.0,23,0.5276402441061326,0.28173255684142934,-0.5877852522924721
2018-02-06,0.0,24,0.5480125073546699,0.540640817455597,-0.9510565162951541
2018-02-07,0.0,25,0.5680647467311557,0.7557495743542585,-1.2246467991473533e-15
2018-02-08,0.0,26,0.587785252292473,0.9096319953545182,0.9510565162951532
2018-02-09,0.0,27,0.6071625078187111,0.9898214418809326,0.5877852522924741
2018-02-12,0.0,28,0.6261851975383136,0.9898214418809327,-0.5877852522924719
2018-02-13,0.0,29,0.6448422127361705,0.9096319953545182,-0.9510565162951541
2018-02-14,0.0,30,0.6631226582407951,0.7557495743542595,-1.4695761589768238e-15
